연번,기관,공원종류,공원명,상세주소,공원면적(m),최초시설결정일,x좌표,y좌표
675,동래구,소공원,명장B공원,동래구 명장동 67-44번지 일원,3335,부고339호(2025.08.27.),129.1004317,35.20152748
676,동래구,소공원,명장C공원,동래구 명장동 102-41번지 일원,1871,부고339호(2025.08.27.),129.1043651,35.20089941
677,동래구,소공원,안락A공원,동래구 안락동 429-44번지 일원,4296,부고340호(2025.08.27.),129.0993841,35.20003761
678,동래구,소공원,안락B공원,동래구 안락동 447-15번지 일원,1133,부고340호(2025.08.27.),129.1041667,35.19863866
679,동래구,소공원,덧널공원,동래구 복천동 87-1번지 일원,11675,부고226호(2022.06.22.),129.0887895,35.20527146
680,동래구,소공원,신정소공원,동래구 사직3동 1044번지,405.2,부고307호(2013.08.21),129.0666311,35.19677342
681,동래구,소공원,여고소공원,동래구 사직3동 1043번지,2062.7,부고228호(2007.06.13),129.0688184,35.19734777
682,동래구,소공원,한길소공원,동래구 사직3동 1045번지,724.6,부고228호(2007.06.13),129.0658939,35.19778351
683,동래구,소공원,쇠미소공원,동래구 사직동 597-93번지 일원,10824,동고67호(2012.07.04),129.0532224,35.2027161
684,동래구,소공원,사직A공원,동래구 사직동 157-44번지 일원,2388,부고214호(2023.06.21.),129.0749261,35.19893149
685,동래구,소공원,소공원,동래구 사직동 148-65번지 일원,2288,부고308호(2024.09.25.),129.0743687,35.19990862
686,동래구,소공원,소공원,동래구 안락동 466-1,955.5,부고355호(2022.09.07.),129.1108598,35.20063577
687,동래구,소공원,솔밭공원,동래구 온천동 1853-5,367.7,부고364호(2021.09.01.),129.0670035,35.2117526
688,동래구,소공원,고당공원,동래구 온천1동 15-8번지 일원,501,부고214호(2010.06.16),129.0782044,35.22408997
689,동래구,소공원,금산공원,동래구 온천1동 296-17번지 일원,882.8,부고214호(2010.06.16),129.0767534,35.21888686
690,동래구,소공원,산저공원,동래구 온천동 1853-25,819.7,부고364호(2021.09.01.),129.0722764,35.21152986
691,동래구,소공원,돌방공원,동래구 칠산동 51-1번지 일원,5681,부고226호(2022.06.22.),129.0926886,35.20770995
692,동래구,소공원,온새미로공원,동래구 온천3동 1836번지,540.8,부고82호(2015.07.15),129.0629391,35.20777133
693,남구,소공원,대동골소공원,남구 대연동 243-10 일원,1227,남구62호(2012.05.30),129.0886799,35.15140335
694,남구,소공원,감만당집마루 소공원,남구 감만동 463-1번지 일원,1193,남구22호(2014.02.26),129.0801692,35.11282786
695,남구,소공원,오솔 소공원,남구 용호3동 372-24번지 일원,1266.9,부고154호(2019.5.29.),129.1130865,35.12009952
696,남구,소공원,공원,남구 용호동 374-1번지 일원,832,부고302호(2025.07.30.),129.1149576,35.12129626
697,남구,소공원,남광공원,남구 대연동 1898번지,283.8,부고395호(2006.11.15),129.0902941,35.12167605
698,남구,소공원,소공원,남구 우암동 209-34번지 일원,1269,부고120호(2022.04.06.),129.0717673,35.12913501
699,남구,소공원,우암2공원,남구 우암동 129-56,660,부고403호(2022.10.26.),129.0750387,35.12696329
700,남구,소공원,공원,남구 우암동 산48번지 일원,233,부고75호(2025.02.26.),129.0849807,35.12599235
701,남구,소공원,무제등소공원,남구 용당동 24-2번지 일원,4948,남구72호(2016.08.31),129.1044178,35.10710512
702,남구,소공원,용당공원,남구 용당동 산34-24번지 일원,3280,부고472호(2023.12.27.),129.0942701,35.12077618
703,남구,소공원,소공원,남구 대연동 1808-4번지 일원,2238.2,부고409호(2012.10.31),129.108398,35.13310975
704,남구,소공원,소공원,남구 대연동 1046 일원,2265.9,부고397호(2017.12.13.),129.0904344,35.12950102
705,남구,소공원,소공원,남구 대연동 919-36 일원,5719.4,부고397호(2017.12.13.),129.0882859,35.12952584
706,남구,소공원,소공원,남구 문현동 189-79번지 일원,1215,부고391호(2024.11.6.),129.0730211,35.13940304
707,남구,소공원,문현 IFC 소공원1,남구 문현동 758-11번지 일원,3448,부고167호(2023.05.10.),129.0640117,35.14322651
708,남구,소공원,문현 IFC 소공원2,남구 문현동 786-32번지 일원,1476.9,부고167호(2023.05.10.),129.0644861,35.14227548
709,남구,소공원,문현3 소공원1,남구 문현동 426-81번지 일원,656,부고396호(2017.12.13),129.0695754,35.14160086
710,북구,소공원,거북소공원,북구 구포동 882-30,742,북구7호(2011.03.09),129.0019744,35.19755647
711,북구,소공원,사기천소공원,북구 만덕동 447-6번지 일원,221,부고275호(2016.8.17.),129.0438904,35.21457915
712,북구,소공원,덕천소공원,북구 덕천동 819번지,1284.4,부고13호(2021.01.13.),129.0140783,35.21316368
713,북구,소공원,상학소공원,북구 만덕동 961-1,1434.9,북구17호(2007.05.16),129.0338278,35.2165279
714,북구,소공원,상계소공원,북구 만덕동 961-4,574.3,북구90호(2015.10.21),129.0331597,35.21584794
715,북구,소공원,사기소공원,북구 만덕동 산30번지 일원,1680,부고507호(2020.12.23.),129.0430273,35.21636681
716,북구,소공원,와석소공원,북구 화명2동 1417-12,670,북구54호(2009.12.09),129.0150263,35.23548668
717,북구,소공원,의성1소공원,북구 덕천동 824번지,743.2,부고259호(2017.8.9.),129.017052,35.21392585
718,북구,소공원,의성2소공원,북구 덕천동 824-1번지,702.6,부고259호(2017.8.9.),129.0171883,35.21345036
719,북구,소공원,소공원,북구 금곡동 910-20번지,1506.3,부고97호(2020.03.18.),129.0123468,35.25455077
